1        Adrian Peterson MIN, 5         1        6        2.0        1.2        1.0        0.0
2        Le'Veon Bell PIT, 11         1        8        2.7        1.6        3.0        +1.0
3        Jamaal Charles KC, 9         1        6        3.3        1.4        2.0        -1.0
4        Eddie Lacy GB, 7         1        9        3.5        1.6        4.0        0.0
5        Marshawn Lynch SEA, 9         1        7        4.4        1.2        5.0        0.0
6        CJ Anderson DEN, 7         1        17        6.5        2.4        8.0        +2.0
7        Jeremy Hill CIN, 7         6        12        8.1        1.5        9.0        +2.0
8        Matt Forte CHI, 7         5        12        8.1        1.4        6.0        -2.0
9        DeMarco Murray PHI, 8         2        14        8.4        1.9        7.0        -2.0
10        LeSean McCoy BUF, 8         1        24        10.0        3.1        10.0        0.0
11        Justin Forsett BAL, 9         7        25        11.6        2.6        11.0        0.0
12        Lamar Miller MIA, 5         7        31        12.8        3.5        13.0        +1.0
13        Frank Gore IND, 10         8        21        13.7        2.9        15.0        +2.0
14        Mark Ingram NO, 11         9        23        14.5        2.6        12.0        -2.0
15        Alfred Morris WAS, 8         11        22        14.8        2.2        14.0        -1.0
16        Melvin Gordon SD, 10         11        25        16.8        3.1        16.0        0.0
17        Jonathan Stewart CAR, 5         12        34        18.7        3.8        19.0        +2.0
18        Latavius Murray OAK, 6         11        32        18.7        4.2        18.0        0.0
19        Carlos Hyde SF, 10         11        28        19.9        3.7        17.0        -2.0
20        Joseph Randle DAL, 6         13        46        20.6        5.1        22.0        +2.0
21        Andre Ellington ARI, 9         15        31        20.9        3.7        20.0        -1.0
22        TJ Yeldon JAC, 8         13        30        22.1        3.3        23.0        +1.0
23        Ameer Abdullah DET, 9         13        38        24.3        5.4        28.0        +5.0
24        LeGarrette Blount NE, 4         19        33        24.5        3.3        27.0        +3.0
25        Todd Gurley STL, 6         17        39        25.1        4.6        21.0        -4.0
26        CJ Spiller NO, 11         15        34        25.5        4.4        30.0        +4.0
27        Christopher Ivory NYJ, 5         14        39        27.1        5.3        31.0        +4.0
28        Giovani Bernard CIN, 7         21        38        28.9        3.9        29.0        +1.0
29        Doug Martin TB, 6         17        41        29.8        4.8        32.0        +3.0
30        Rashad Jennings NYG, 11         19        44        30.0        4.5        24.0        -6.0
31        Joique Bell DET, 9         22        51        31.0        5.9        26.0        -5.0
32        Tevin Coleman ATL, 10         16        41        32.0        4.6        34.0        +2.0
33        Isaiah Crowell CLE, 11         27        49        32.5        4.3        33.0        0.0
34        Shane Vereen NYG, 11         21        49        35.2        4.1        38.0        +4.0
35        Arian Foster HOU, 9         21        52        35.8        6.9        25.0        -10.0
36        Devonta Freeman ATL, 10         29        53        35.9        4.2        40.0        +4.0
37        Ryan Mathews PHI, 8         29        51        38.3        4.3        39.0        +2.0
38        Bishop Sankey TEN, 4         27        56        39.3        5.9        42.0        +4.0
39        Tre Mason STL, 6         26        56        39.2        5.7        36.0        -3.0
40        Duke Johnson CLE, 11         28        70        41.1        7.4        51.0        +11.0
41        David Cobb TEN, 4         28        66        42.6        7.5        44.0        +3.0
42        Danny Woodhead SD, 10         30        63        44.0        7.4        47.0        +5.0
43        Alfred Blue HOU, 9         25        69        45.0        9.7        35.0        -8.0
44        Reggie Bush SF, 10         33        53        43.9        4.0        41.0        -3.0
45        Charles Sims TB, 6         26        66        46.2        7.3        46.0        +1.0
46        Darren McFadden DAL, 6         35        72        47.1        7.2        37.0        -9.0
47        David Johnson ARI, 9         29        65        47.0        7.0        55.0        +8.0
48        Roy Helu OAK, 6         38        68        48.8        6.1        62.0        +14.0
49        Darren Sproles PHI, 8         34        76        50.8        8.1        45.0        -4.0
50        Knile Davis KC, 9         37        65        49.8        6.0        53.0        +3.0
51        Andre Williams NYG, 11         38        72        51.8        6.8        49.0        -2.0
52        Fred Jackson BUF, 8         35        77        53.8        8.4        54.0        +2.0
53        Chris Polk HOU, 9         34        95        60.9        14.5        70.0        +17.0
54        Terrance West CLE, 11         40        82        56.4        8.7        57.0        +3.0
55        Jonas Gray NE, 4         37        81        62.3        11.2        48.0        -7.0
56        Montee Ball DEN, 7         36        84        59.6        10.4        56.0        0.0
57        Jay Ajayi MIA, 5         34        94        61.2        13.0        60.0        +3.0
58        Matt Jones WAS, 8         36        85        61.1        9.3        72.0        +14.0
59        DeAngelo Williams PIT, 11         39        79        59.7        8.3        43.0        -16.0
60        Khiry Robinson NO, 11         44        80        64.0        10.2        63.0        +3.0
61        Lance Dunbar DAL, 6         43        86        61.3        10.2        79.0        +18.0
62        Javorius Allen BAL, 9         33        93        65.5        11.6        83.0        +21.0
63        Chris Johnson ARI, 9         24        87        70.1        11.5        74.0        +11.0
64        Ronnie Hillman DEN, 7         42        88        66.7        11.8        78.0        +14.0
65        Denard Robinson JAC, 8         44        78        59.0        7.5        64.0        -1.0
66        James White NE, 4         43        91        63.7        11.1        82.0        +16.0
67        Lorenzo Taliaferro BAL, 9         45        83        61.0        8.4        59.0        -8.0
68        Stevan Ridley NYJ, 5         39        90        64.9        11.3        50.0        -18.0
69        Jerick McKinnon MIN, 5         44        83        58.4        7.8        66.0        -3.0
70        Cameron Artis-Payne CAR, 5         42        92        67.4        11.0        65.0        -5.0
71        Trent Richardson OAK, 6         42        102        78.7        15.0        80.0        +9.0
72        Daniel Herron IND, 10         45        85        61.4        7.7        67.0        -5.0
73        Brandon Bolden NE, 4         46        108        80.2        13.7        92.0        +19.0
74        James Starks GB, 7         50        79        64.9        6.8        73.0        -1.0
75        Branden Oliver SD, 10         52        96        73.3        8.6        69.0        -6.0
76        Antone Smith ATL, 10         52        94        73.6        12.1        61.0        -15.0
77        Bilal Powell NYJ, 5         52        88        72.0        7.5                
78        Theo Riddick DET, 9         53        88        70.9        8.0        68.0        -10.0
79        Karlos Williams BUF, 8         54        118        81.6        19.3                
80        Antonio Andrews TEN, 4         55        139        92.1        26.6                
81        Damien Williams MIA, 5         55        101        75.1        11.7        86.0        +5.0
82        Tyler Gaffney NE, 4         56        94        82.8        13.9                
83        Benny Cunningham STL, 6         56        86        74.3        6.8        98.0        +15.0
84        Zac Stacy NYJ, 5         57        104        80.1        11.9        99.0        +15.0
85        Jonathan Grimes HOU, 9         58        98        75.5        11.9                
