1        Rob Gronkowski NE, 4         1        1        1.0        0.0        1.0        0.0
2        Jimmy Graham SEA, 9         2        5        2.2        0.6        2.0        0.0
3        Greg Olsen CAR, 5         2        5        3.5        0.7        3.0        0.0
4        Travis Kelce KC, 9         2        5        3.6        0.7        4.0        0.0
5        Martellus Bennett CHI, 7         3        14        5.4        1.7        5.0        0.0
6        Jordan Cameron MIA, 5         5        13        7.8        2.0        8.0        +2.0
7        Jason Witten DAL, 6         5        15        8.2        1.9        7.0        0.0
8        Delanie Walker TEN, 4         5        25        9.3        3.5        13.0        +5.0
9        Julius Thomas JAC, 8         5        18        9.3        2.9        6.0        -3.0
10        Zach Ertz PHI, 8         6        32        10.0        4.7        10.0        0.0
11        Tyler Eifert CIN, 7         7        25        13.6        4.3        19.0        +8.0
12        Dwayne Allen IND, 10         6        22        13.8        3.8        9.0        -3.0
13        Kyle Rudolph MIN, 5         2        25        14.7        4.7        15.0        +2.0
14        Owen Daniels DEN, 7         6        31        16.3        5.0        11.0        -3.0
15        Antonio Gates SD, 10         9        24        16.0        3.6        12.0        -3.0
16        Austin Seferian-Jenkins TB, 6         9        28        16.7        4.6        24.0        +8.0
17        Larry Donnell NYG, 11         10        26        17.0        4.2        25.0        +8.0
18        Josh Hill NO, 11         6        34        18.6        5.5        17.0        -1.0
19        Heath Miller PIT, 11         11        27        18.0        3.2        18.0        -1.0
20        Vernon Davis SF, 10         6        33        20.0        5.8        16.0        -4.0
21        Coby Fleener IND, 10         8        34        20.0        4.8        14.0        -7.0
22        Jordan Reed WAS, 8         6        29        20.5        4.6        27.0        +5.0
23        Charles Clay BUF, 8         12        32        21.8        4.4        20.0        -3.0
24        Ladarius Green SD, 10         11        32        22.0        4.3        23.0        -1.0
25        Eric Ebron DET, 9         12        39        24.0        5.0        21.0        -4.0
26        Jared Cook STL, 6         14        31        25.1        3.9        22.0        -4.0
27        Mychal Rivera OAK, 6         6        39        28.8        5.1        31.0        +4.0
28        Richard Rodgers GB, 7         16        39        26.6        4.7        28.0        0.0
29        Jace Amaro NYJ, 5         16        36        27.0        3.7        38.0        +9.0
30        Maxx Williams BAL, 9         17        44        29.1        5.3        29.0        -1.0
31        Rob Housler CLE, 11         15        54        32.4        5.9                
32        Benjamin Watson NO, 11         20        45        32.5        5.1        32.0        0.0
33        Virgil Green DEN, 7         23        55        35.8        7.2        26.0        -7.0
34        Darren Fells ARI, 9         24        67        46.8        12.2                
35        Jacob Tamme ATL, 10         25        37        31.2        2.7        37.0        +2.0
36        Crockett Gillmore BAL, 9         26        53        39.1        6.6        39.0        +3.0
37        Clive Walford OAK, 6         26        52        37.4        6.9        35.0        -2.0
38        Garrett Graham HOU, 9         26        45        35.6        4.4                
39        Scott Chandler NE, 4         27        56        38.2        6.9                
40        Dennis Pitta BAL, 9         28        49        38.8        7.2                
41        Brent Celek PHI, 8         28        43        35.6        4.0                
42        Troy Niklas ARI, 9         29        76        45.9        11.9                
43        Lance Kendricks STL, 6         29        47        36.8        4.6                
44        Ed Dickson CAR, 5         30        69        52.8        11.3                
45        Jeff Cumberland NYJ, 5         31        60        44.8        7.5        34.0        -11.0
46        Gavin Escobar DAL, 6         31        45        39.5        3.6        36.0        -10.0
47        EJ Bibbs CLE, 11         32        56        44.0        12.0                
48        Jermaine Gresham ARI, 9         33        74        42.3        9.3                
49        Tim Wright TB, 6         33        63        43.2        8.3                
50        Andrew Quarless GB, 7         33        53        42.9        4.9        33.0        -17.0
51        Dion Sims MIA, 5         33        51        44.2        4.6        30.0        -21.0
